武将ID,名字,武力,智力,统率,兵种,武器,智力道具,坐骑
13,刘璋,47,49,50,弓兵,,,
13,庞德,96,20,50,骑兵,,,
13,杨龄,61,40,50,骑兵,,,
14,李典,74,83,50,步兵,,,
14,刘表,22,71,50,弓兵,,,
14,王朗,41,78,50,水兵,,,
14,张鲁,69,75,50,弓兵,,,
15,孔融,57,82,50,弓兵,,,
15,刘贤,50,37,50,骑兵,,,
15,刘焉,52,72,50,弓兵,,,
15,杨修,38,82,50,弓兵,,,
16,公孙瓒,89,75,50,骑兵,望月枪（武力+3）,,
16,乐进,82,42,50,步兵,,,
16,李肃,75,65,50,步兵,,,
16,刑道荣,71,51,50,弓兵,,,
17,曹洪,80,63,50,弓兵,,,白鸽（移动+1）
17,陈应,80,22,50,水兵,,,
17,公孙度,71,31,50,步兵,,,
17,郭汜,71,28,50,水兵,,,
18,鲍隆,68,35,50,步兵,,,
18,曹仁,73,74,50,水兵,,,
18,牛辅,52,22,50,步兵,,,
18,张鲁,69,75,50,弓兵,,,
19,巩志,59,77,50,步兵,,,
19,李儒,54,92,50,弓兵,,,
19,牛金,80,22,50,步兵,,,
19,夏侯惇,92,60,50,骑兵,,,
20,曹休,72,61,50,水兵,,,
20,吕布,110,53,50,极兵,方天画戟（武力+10）,,赤兔（移动+3）
20,夏侯渊,93,48,50,骑兵,,,
20,徐庶,1,1,50,弓兵,,,
21,华雄,92,23,50,骑兵,,,
21,李典,74,83,50,步兵,,,
21,夏侯惇,92,60,50,骑兵,,,
21,于禁,77,70,50,弓兵,,,
22,乐进,82,42,50,步兵,,,
22,夏侯渊,93,48,50,骑兵,,,
22,荀攸,41,93,50,弓兵,,,
22,张辽,93,82,50,弓兵,,,
23,曹洪,80,63,50,弓兵,,,
23,程昱,33,94,50,步兵,,,
23,李傕,76,21,50,水兵,,,
23,夏侯尚,59,69,50,水兵,,,
24,曹仁,73,74,50,水兵,,,
24,郭汜,71,28,50,水兵,,,
24,刘晔,36,88,50,弓兵,,,
24,夏侯德,71,64,50,弓兵,,,
25,陈群,52,80,50,骑兵,,,
25,李肃,75,65,50,步兵,,,
25,夏侯霸,45,63,50,步兵,,,
25,夏侯恩,72,61,50,步兵,青虹剑（武力+8）,,
26,侯成,73,35,50,弓兵,,,
26,孔融,57,82,50,弓兵,,,
26,刘岱,76,53,50,步兵,,,
26,满宠,58,72,50,步兵,,,
27,高顺,70,55,50,骑兵,,,
27,李典,74,83,50,步兵,,,
27,毛玠,51,76,50,水兵,,,
27,王忠,47,41,50,弓兵,,,
28,徐荣,84,54,50,骑兵,,,
28,许褚,96,24,50,步兵,,,
28,杨修,38,82,50,弓兵,,,
29,崔琰,50,77,50,步兵,,,
29,乐进,82,42,50,步兵,,,
29,牛辅,52,22,50,步兵,,,
29,荀彧,43,94,50,弓兵,,,
30,曹洪,80,63,50,弓兵,,,白鸽（移动+1）
30,王允,16,85,50,弓兵,,,
30,徐晃,86,83,50,骑兵,,,
30,荀攸,41,93,50,弓兵,,,
31,曹仁,73,74,50,水兵,,,
31,关羽,106,81,50,步兵,青龙刀（武力+8）,,
31,郭淮,80,42,50,步兵,,,
31,荀攸,41,93,50,弓兵,,,
32,蒋干,30,79,50,骑兵,,,
32,牛金,80,22,50,步兵,,,
32,夏侯惇,92,60,50,骑兵,,,
32,张飞,107,67,50,骑兵,丈八矛（武力+8）,,
33,曹休,72,61,50,水兵,,,
33,简雍,34,71,50,步兵,,,
33,夏侯渊,93,48,50,骑兵,,,
33,张郃,92,69,50,骑兵,,,
34,曹丕,52,77,50,骑兵,,,
34,陈圭,31,88,50,弓兵,,,
34,高览,83,54,50,步兵,,,
34,李典,74,83,50,步兵,,,
35,曹真,68,79,50,骑兵,,,
35,陈登,69,86,50,骑兵,,,
35,高干,59,41,50,水兵,,,
35,乐进,82,42,50,步兵,,,
36,博士仁,40,43,50,弓兵,,,
36,曹洪,80,63,50,弓兵,,,
36,曹植,20,88,50,骑兵,,,
36,孙乾,30,82,50,步兵,,,
37,曹仁,73,74,50,水兵,,,
37,糜竺,53,82,50,弓兵,,,
37,于禁,77,70,50,弓兵,,,
37,张南,74,44,50,步兵,,,
38,糜芳,65,23,50,步兵,,,
38,荀彧,43,94,50,弓兵,,,
38,颜良,94,55,50,骑兵,,,
38,张燕,77,38,50,水兵,,,
39,曹豹,58,53,50,骑兵,,,
39,王修,51,73,50,步兵,,,
39,文丑,95,48,50,骑兵,,,
39,荀攸,41,93,50,弓兵,,,
40,程昱,33,94,50,步兵,,,
40,淳于琼,82,40,50,弓兵,,,
40,辛毗,54,79,50,步兵,,,
40,颜良,94,55,50,骑兵,,,
41,陈琳,43,75,50,步兵,,,
41,逢纪,50,88,50,弓兵,,,
41,刘晔,36,88,50,弓兵,,,
41,文丑,95,48,50,骑兵,,,
42,陈登,69,86,50,骑兵,,,
42,陈群,52,80,50,骑兵,,,
42,审配,57,85,50,步兵,,,
42,张郃,92,69,50,骑兵,,,
43,曹豹,58,53,50,骑兵,,,
43,淳于琼,82,40,50,弓兵,,,
43,满宠,58,72,50,步兵,,,
43,田丰,28,94,50,弓兵,,,
44,高览,83,54,50,步兵,,,
44,沮授,21,91,50,弓兵,,,
44,毛玠,51,76,50,水兵,,,
44,臧霸,83,46,50,步兵,,,
45,高干,59,41,50,水兵,,,
45,魏续,84,48,50,水兵,,,
45,许褚,96,24,50,步兵,,,
45,许攸,39,82,50,步兵,,,
46,崔琰,50,77,50,步兵,,,
46,郭淮,80,42,50,步兵,,,
46,纪灵,88,49,50,骑兵,三尖刀（武力+3）,,
46,王双,80,49,50,水兵,,,
47,陈兰,72,40,50,步兵,,,
47,侯成,73,35,50,弓兵,,,
47,徐晃,86,83,50,骑兵,,,
47,张南,74,44,50,步兵,,,
48,高顺,70,55,50,骑兵,,,
48,郭淮,80,42,50,步兵,,,
48,雷薄,81,35,50,步兵,,,
48,袁谭,77,55,50,骑兵,,,
49,蒋干,30,79,50,骑兵,,,
49,俞涉,74,24,50,弓兵,,,
49,袁熙,57,63,50,水兵,,,
49,钟繇,21,87,50,水兵,,,
50,程普,88,83,50,步兵,,,
50,王粲,46,72,50,步兵,,,
50,张郃,92,69,50,骑兵,,,
50,张燕,77,38,50,水兵,,,
51,高览,83,54,50,步兵,,,
51,韩当,83,40,50,水兵,,,
51,马延,52,60,50,水兵,,,
51,袁尚,83,47,50,步兵,,,
52,逢纪,50,88,50,弓兵,,,
52,高干,59,41,50,水兵,,,
52,黄盖,76,63,50,水兵,,,
52,张绣,83,45,50,弓兵,,,
53,贾诩,37,96,50,步兵,,,
53,审配,57,85,50,步兵,,,
53,张南,74,44,50,步兵,,,
53,祖茂,81,61,50,弓兵,,,
54,蒯越,53,74,50,步兵,,,
54,孙策,96,58,50,骑兵,,,
54,田丰,28,94,50,弓兵,,,
54,张燕,77,38,50,水兵,,,
55,韩嵩,58,72,50,步兵,,,
55,沮授,21,91,50,弓兵,,,
55,孙权,77,80,50,步兵,,,
55,王修,51,73,50,步兵,,,
56,董昭,36,73,50,弓兵,,,
56,韩遂,70,60,50,骑兵,,,
56,辛毗,54,79,50,步兵,,,
56,许攸,39,82,50,步兵,,,
57,陈琳,43,75,50,步兵,,,
57,郭图,36,80,50,步兵,,,
57,马超,98,53,50,骑兵,,,
57,文聘,82,56,50,步兵,,,
58,陈登,69,86,50,骑兵,,,
58,庞德,96,20,50,骑兵,,,
58,王修,51,73,50,步兵,,,
58,张卫,77,45,50,骑兵,,,
59,曹豹,58,53,50,骑兵,,,
59,侯选,62,31,50,弓兵,,,
59,辛评,28,74,50,步兵,,,
59,杨松,20,68,50,步兵,,,
60,程银,78,40,50,步兵,,,
60,辛毗,54,79,50,步兵,,,
60,杨任,41,53,50,弓兵,,,
60,张辽,93,82,50,弓兵,,,
61,陈琳,43,75,50,步兵,,,
61,李堪,45,51,50,弓兵,,,
61,阎圃,56,78,50,弓兵,,,
61,臧霸,83,46,50,步兵,,,
62,陈震,39,72,50,骑兵,,,
62,孟达,74,77,50,骑兵,,,
62,魏续,84,48,50,水兵,,,
62,张横,83,40,50,步兵,,,
63,侯成,73,35,50,弓兵,,,
63,梁兴,71,29,50,步兵,,,
63,司马懿,52,89,50,水兵,,,
63,荀谌,51,80,50,弓兵,,,
64,成宜,45,38,50,步兵,,,
64,高顺,70,55,50,骑兵,,,
64,纪灵,88,49,50,骑兵,三尖刀（武力+3）,,
64,司马师,43,89,50,步兵,,,
65,陈兰,72,40,50,步兵,,,
65,马玩,70,63,50,骑兵,,,
65,司马昭,55,94,50,水兵,,,
65,钟繇,21,87,50,水兵,,,
66,雷薄,81,35,50,步兵,,,
66,马延,52,60,50,水兵,,,
66,王威,77,53,50,水兵,,,
66,杨秋,70,56,50,弓兵,,,
67,陈圭,31,88,50,弓兵,,,
67,文钦,75,66,50,步兵,,,
67,俞涉,74,24,50,弓兵,,,
67,张绣,83,45,50,弓兵,,,
68,陈登,69,86,50,骑兵,,,
68,贾诩,37,96,50,步兵,,,
68,乔瑁,51,50,50,弓兵,,,
68,毋丘俭,84,54,50,步兵,,,
69,蔡瑁,78,59,50,水兵,,,
69,典满,83,52,50,弓兵,,,
69,孙乾,30,82,50,步兵,,,
69,袁遗,57,47,50,步兵,,,
70,郝昭,79,74,50,步兵,,,
70,蒯越,53,74,50,步兵,,,
70,糜竺,53,82,50,弓兵,,,
70,太史慈,93,43,50,骑兵,,,
71,程普,88,83,50,步兵,,,
71,韩嵩,58,72,50,步兵,,,
71,糜芳,65,23,50,步兵,,,
71,王平,72,78,50,步兵,,,
72,曹豹,58,53,50,骑兵,,,
72,董昭,36,73,50,弓兵,,,
72,黄盖,76,63,50,水兵,,,
72,诸葛亮,26,100,50,步兵,,,
73,韩当,83,40,50,水兵,,,
73,太史慈,93,43,50,骑兵,,,
73,王粲,46,72,50,步兵,,,
73,赵云,109,87,50,弓兵,望月枪（武力+3）；青虹剑（武力+8）,,
74,蔡中,58,30,50,水兵,,,
74,蒋钦,81,56,50,水兵,,,
74,魏延,91,59,50,步兵,,,
74,武安国,57,41,50,步兵,,,
75,蔡和,35,32,50,步兵,,,
75,刘繇,35,66,50,步兵,,,
75,马超,98,53,50,骑兵,,,
75,周泰,91,53,50,骑兵,,,
76,马岱,74,45,50,弓兵,,,
76,乔瑁,51,50,50,弓兵,,,
76,张允,78,82,50,水兵,,,
76,朱治,72,56,50,弓兵,,,
77,陈武,83,67,50,步兵,,,
77,廖化,72,55,50,水兵,,,
77,文聘,82,56,50,步兵,,,
77,袁遗,57,47,50,步兵,,,
78,董昭,57,80,50,弓兵,,,
78,简雍,34,71,50,步兵,,,
78,王威,77,53,50,水兵,,,
78,周瑜,77,98,50,弓兵,,,
79,关羽,106,81,50,步兵,青龙刀（武力+8）,,赤兔（移动+3）
79,穆顺,76,21,50,步兵,,,
79,孙乾,30,82,50,步兵,,,
79,张昭,40,86,50,弓兵,,,
80,糜竺,53,82,50,弓兵,,,
80,潘凤,80,38,50,骑兵,,,
80,张飞,107,67,50,骑兵,丈八矛（武力+8）,,王追（移动+1）
80,张纮,34,75,50,步兵,,,
81,关兴,94,52,50,水兵,青龙刀（武力+8）,,
81,吕范,68,78,50,水兵,,,
81,荀谌,51,80,50,弓兵,,,
81,赵云,101,87,50,弓兵,望月枪（武力+3）,,
82,关平,77,64,50,步兵,,,
82,韩馥,30,25,50,步兵,,,
82,辛评,28,74,50,步兵,,,
82,张苞,93,51,50,水兵,丈八矛（武力+8）,,
83,关纯,56,41,50,骑兵,,,
83,刘封,72,55,50,骑兵,,,
83,吴懿,82,59,50,步兵,,,
83,张超,40,56,50,步兵,,,
84,耿武,54,80,50,弓兵,,,
84,胡车儿,74,64,50,骑兵,,,
84,廖化,72,55,50,水兵,,,
84,吴班,82,44,50,弓兵,,,
85,方悦,73,34,50,骑兵,,,
85,贾诩,37,96,50,步兵,,,
85,李严,82,76,50,骑兵,,,
85,周仓,84,56,50,水兵,,,
86,陈宫,51,93,50,弓兵,,,
86,邓芝,32,73,50,水兵,,,
86,简雍,34,71,50,步兵,,,
86,张辽,93,82,50,弓兵,,,
87,典韦,101,56,50,骑兵,双铁戟（武力+2）,,
87,董允,21,77,50,步兵,,,
87,孙乾,30,82,50,步兵,,,
87,臧霸,83,46,50,步兵,,,
88,曹性,67,32,50,弓兵,,,
88,费祎,57,83,50,弓兵,,,
88,糜竺,53,82,50,弓兵,,,
88,张超,40,56,50,步兵,,,
89,关羽,106,81,50,步兵,青龙刀（武力+8）,,
89,郭攸之,37,73,50,骑兵,,,
89,糜芳,65,23,50,步兵,,,
89,魏续,84,48,50,水兵,,,
90,侯成,73,35,50,弓兵,,,
90,向朗,44,75,50,步兵,,,
90,张飞,107,67,50,骑兵,丈八矛（武力+8）,,
90,诸葛亮,26,100,50,步兵,,,
91,高顺,70,55,50,骑兵,,,
91,蒋琬,36,89,50,步兵,,,
91,蒯良,20,93,50,弓兵,,,
91,刘琦,47,44,50,骑兵,,,
92,陈宫,51,93,50,弓兵,,,
92,蒯越,53,74,50,步兵,,,
92,马谡,52,84,50,步兵,,,
92,太史慈,93,43,50,骑兵,,,
93,蔡瑁,78,59,50,水兵,,,
93,甘宁,92,49,50,骑兵,,,
93,黄忠,93,57,50,弓兵,,,
93,马忠,74,49,50,水兵,,,
94,黄盖,76,63,50,水兵,,,
94,魏延,91,59,50,步兵,,,
94,张嶷,74,52,50,骑兵,,,
94,张允,78,82,50,水兵,,,
95,陈式,59,35,50,水兵,,,
95,程普,88,83,50,步兵,,,
95,黄祖,70,43,50,步兵,,,
95,王朗,41,78,50,水兵,,,
96,陈震,39,72,50,骑兵,,,
96,甘宁,92,49,50,骑兵,,,
96,公孙康,77,36,50,步兵,,,
96,韩当,83,40,50,水兵,,,
97,董和,28,75,50,步兵,,,
97,公孙恭,75,53,50,弓兵,,,
97,蒋钦,81,56,50,水兵,,,
97,张任,86,77,50,弓兵,,,
98,邓贤,76,43,50,骑兵,,,
98,韩遂,70,60,50,骑兵,,,
98,严颜,89,83,50,骑兵,,,
98,周泰,91,53,50,骑兵,,,
99,丁奉,75,84,50,水兵,,,
99,公孙越,78,43,50,骑兵,,,
99,马超,98,53,50,骑兵,,,
99,庞仪,45,84,50,骑兵,,,
100,马岱,74,45,50,弓兵,,,
100,徐盛,75,64,50,骑兵,,,
100,严纲,44,59,50,弓兵,,,
100,张翼,83,58,50,步兵,,,
101,陈武,83,67,50,步兵,,,
101,李恢,41,77,50,水兵,,,
101,庞德,96,20,50,骑兵,,,
101,王门,54,32,50,步兵,,,
102,侯选,62,31,50,弓兵,,,
102,潘璋,78,44,50,骑兵,,,
102,沙摩柯,90,29,50,弓兵,,,
102,田楷,81,58,50,步兵,,,
103,程银,78,40,50,步兵,,,
103,甘宁,92,49,50,骑兵,,,
103,公孙康,77,36,50,步兵,,,
103,凌统,76,51,50,水兵,,,
104,公孙恭,75,53,50,弓兵,,,
104,黄盖,76,63,50,水兵,,,
104,李堪,45,51,50,弓兵,,,
104,周瑜,77,98,50,弓兵,,,
105,程普,88,83,50,步兵,,,
105,张横,83,40,50,步兵,,,
105,张卫,77,45,50,骑兵,,,
105,张昭,40,86,50,弓兵,,,
106,韩当,83,40,50,水兵,,,
106,梁兴,71,29,50,步兵,,,
106,杨松,20,68,50,步兵,,,
106,张纮,34,75,50,步兵,,,
107,成宜,45,38,50,步兵,,,
107,蒋钦,81,56,50,水兵,,,
107,杨任,41,53,50,弓兵,,,
107,朱治,72,56,50,水兵,,,
108,董袭,80,43,50,弓兵,,,
108,马玩,70,63,50,骑兵,,,
108,阎圃,56,78,50,弓兵,,,
108,周泰,91,53,50,骑兵,,,
109,丁奉,75,84,50,水兵,,,
109,凌统,85,67,50,水兵,,,
109,吕范,68,78,50,水兵,,,
109,杨秋,70,56,50,弓兵,,,
110,曹休,72,61,50,水兵,,,
110,蒯良,20,93,50,弓兵,,,
110,鲁肃,20,86,50,步兵,,,
110,徐盛,75,64,50,骑兵,,,
111,蒯越,53,74,50,步兵,,,
111,刘晔,36,88,50,弓兵,,,
111,虞翻,40,84,50,水兵,,,
111,朱然,81,40,50,水兵,,,
112,陈群,49,92,50,步兵,,,
112,陈武,83,67,50,步兵,,,
112,韩嵩,58,72,50,步兵,,,
112,阚泽,22,77,50,水兵,,,
113,华歆,47,70,50,步兵,,,
113,凌统,76,51,50,水兵,,,
113,刘璋,47,42,50,弓兵,,,
113,伊籍,26,87,50,步兵,,,
114,蔡瑁,78,59,50,水兵,,,
114,陈武,83,67,50,步兵,,,
114,潘璋,78,44,50,骑兵,,,
114,诸葛谨,25,84,50,步兵,,,
115,刘琦,47,44,50,骑兵,,,
115,陆逊,28,95,50,弓兵,,,
115,孙尚香,72,47,50,弓兵,,,
115,张昭,40,86,50,弓兵,,,
116,程昱,33,94,50,步兵,,,
116,王粲,46,72,50,步兵,,,
116,张纮,34,75,50,步兵,,,
116,朱然,81,40,50,水兵,,,
117,蔡中,58,10,50,水兵,,,
117,顾雍,31,73,50,弓兵,,,
117,吕范,68,78,50,水兵,,,
117,朱治,72,56,50,水兵,,,
118,蔡和,35,10,50,步兵,,,
118,董袭,80,43,50,弓兵,,,
118,吕蒙,75,45,50,步兵,,,
118,严畯,36,75,50,步兵,,,
119,费祎,57,83,50,弓兵,,,
119,吕范,68,78,50,水兵,,,
119,张允,78,82,50,水兵,,,
119,朱桓,78,47,50,水兵,,,
120,董允,21,77,50,步兵,,,
120,黄祖,70,43,50,步兵,,,
120,鲁肃,20,86,50,步兵,,,
120,张温,28,74,50,步兵,,,
121,甘宁,92,49,50,骑兵,,,
121,吕蒙,77,91,50,水兵,,,
121,马良,52,92,50,弓兵,,,
121,虞翻,40,84,50,水兵,,,
122,阚泽,22,77,50,水兵,,,
122,陆逊,26,94,50,水兵,,,
122,马谡,52,84,50,步兵,,,
122,文聘,82,56,50,步兵,,,
123,韩遂,70,60,50,骑兵,,,
123,华歆,47,70,50,步兵,,,
123,满宠,58,72,50,步兵,,,
123,王威,77,53,50,水兵,,,
124,马超,98,53,50,骑兵,,,
124,庞统,38,98,50,弓兵,,,
124,张任,86,77,50,弓兵,,,
124,诸葛谨,25,84,50,步兵,,,
125,关平,77,64,50,步兵,,,
125,马岱,74,45,50,弓兵,,,
125,全琮,71,26,50,骑兵,,,
125,严颜,89,83,50,骑兵,,,
126,顾雍,31,73,50,弓兵,,,
126,郭嘉,28,99,50,弓兵,,,
126,庞德,96,20,50,骑兵,,,
126,吴懿,82,59,50,步兵,,,
127,侯选,62,31,50,弓兵,,,
127,王朗,41,78,50,水兵,,,
127,吴班,82,44,50,弓兵,,,
127,严畯,36,75,50,步兵,,,
128,程银,78,40,50,步兵,,,
128,雷铜,75,59,50,骑兵,,,
128,虞翻,40,84,50,水兵,,,
128,朱桓,78,47,50,水兵,,,
129,华歆,47,70,50,步兵,,,
129,李堪,45,51,50,弓兵,,,
129,潘浚,39,72,50,水兵,,,
129,吴兰,79,58,50,弓兵,,,
130,黄权,67,70,50,步兵,,,
130,蒋琬,36,89,50,步兵,,,
130,张横,83,40,50,步兵,,,
130,张温,28,74,50,步兵,,,
131,李严,82,76,50,骑兵,,,
131,梁兴,71,29,50,步兵,,,
131,文聘,82,56,50,步兵,,,
131,张休,42,80,50,步兵,,,
132,成宜,45,38,50,步兵,,,
132,贾诩,37,96,50,步兵,,,
132,吕蒙,77,91,50,水兵,,,
132,孟达,74,77,50,骑兵,,,
133,蒋钦,81,56,50,水兵,,,
133,陆逊,26,94,50,水兵,,,
133,马玩,70,63,50,骑兵,,,
133,张松,56,88,50,弓兵,,,
134,法正,39,93,50,步兵,,,
134,孙浩,44,49,50,骑兵,,,
134,辛毗,54,79,50,步兵,,,
134,杨秋,70,56,50,弓兵,,,
135,陆抗,42,73,50,水兵,,,
135,徐庶,78,97,50,弓兵,,,
135,张卫,77,45,50,骑兵,,,
136,贾华,61,36,50,步兵,,,
136,雷铜,75,59,50,骑兵,,,
136,杨松,20,68,50,步兵,,,
137,吕岱,75,53,50,骑兵,,,
137,许褚,96,24,50,步兵,,,
137,杨任,41,53,50,弓兵,,,
138,荀彧,43,94,50,弓兵,,,
138,阎圃,56,78,50,弓兵,,,
138,诸葛恪,49,93,50,弓兵,,,
139,朵思大王,49,61,50,步兵,,,
139,法正,39,93,50,步兵,,,
139,武安国,57,41,50,步兵,,,
139,张任,86,77,50,弓兵,,,
140,程昱,33,94,50,步兵,,,
140,金环三结,84,50,50,水兵,,,
140,严颜,89,83,50,骑兵,,,
140,张松,56,88,50,弓兵,,,
141,郭嘉,28,99,50,弓兵,,,
141,孟达,74,77,50,骑兵,,,
141,吴懿,82,59,50,步兵,,,
141,朱褒,80,45,50,弓兵,,,
142,李严,82,76,50,骑兵,,,
142,刘晔,36,88,50,弓兵,,,
142,孟优,76,35,50,骑兵,,,
142,吴班,82,44,50,弓兵,,,
143,雷铜,75,59,50,骑兵,,,
143,满宠,58,72,50,步兵,,,
143,吴懿,82,59,50,步兵,,,
143,祝融夫人,94,69,50,水兵,,,
144,带来洞主,72,42,50,骑兵,,,
144,黄权,67,70,50,步兵,,,
144,毛玠,51,76,50,水兵,,,
144,吴兰,79,58,50,弓兵,,,
145,董荼那,73,38,50,弓兵,,,
145,王累,58,77,50,弓兵,,,
145,杨修,30,88,50,弓兵,,,
145,于禁,77,70,50,弓兵,,,
146,阿会喃,64,49,50,步兵,,,
146,典韦,101,56,50,骑兵,双铁戟（武力+2）,,
146,黄权,67,70,50,步兵,,,
146,伊籍,26,87,50,步兵,,,
147,李恢,41,77,50,水兵,,,
147,忙牙长,22,75,50,弓兵,,,
147,许褚,96,24,50,步兵,,,
147,于禁,77,70,50,弓兵,,,
148,崔琰,50,77,50,步兵,,,
148,公孙恭,75,53,50,弓兵,,,
148,李严,82,76,50,骑兵,,,
148,袁尚,83,47,50,步兵,,,
149,车胄,47,60,50,水兵,,,
149,公孙渊,74,55,50,步兵,,,
149,孟达,74,77,50,骑兵,,,
149,袁谭,77,55,50,骑兵,,,
150,邓艾,84,93,50,水兵,,,
150,徐晃,86,83,50,骑兵,,,
150,袁熙,57,63,50,水兵,,,
150,张松,56,88,50,弓兵,,,
151,曹休,72,61,50,水兵,,,
151,法正,39,93,50,步兵,,,
151,张纮,34,75,50,步兵,,,
151,钟会,41,94,50,步兵,,,
152,邓芝,32,73,50,水兵,,,
152,华佗,46,81,50,步兵,,,赤兔（移动+3）；绝影（移动+2）
152,张昭,40,86,50,弓兵,,,
153,董允,21,77,50,步兵,,,
153,管辂,24,74,50,步兵,,,绝影（移动+2）
153,周仓,84,56,50,水兵,,,
154,费祎,57,83,50,弓兵,,,
154,廖化,72,55,50,水兵,,,
154,羊祜,63,93,50,水兵,,,
155,郭攸之,37,73,50,骑兵,,,
155,何晏,55,79,50,骑兵,,,
155,王累,58,77,50,弓兵,,,
155,周泰,91,53,50,骑兵,,,
156,曹叡,46,84,50,弓兵,,,
156,郭攸之,37,73,50,骑兵,,,
156,向朗,44,75,50,步兵,,,
156,诸葛谨,25,84,50,步兵,,,
157,姜维,93,90,50,水兵,,,
157,泠苞,83,48,50,骑兵,,,
157,向朗,44,75,50,步兵,,,
157,诸葛亮,26,100,50,步兵,,,
158,公孙恭,75,53,50,弓兵,,,
158,郭图,36,80,50,步兵,,,
158,泠苞,83,48,50,骑兵,,,
158,诸葛均,48,73,50,水兵,,,
159,公孙渊,74,55,50,步兵,,,
159,蒋琬,36,89,50,步兵,,,
159,王甫,25,81,50,骑兵,,,
159,张南,74,44,50,步兵,,,
160,蒋琬,36,89,50,步兵,,,
160,雷铜,75,59,50,骑兵,,,
160,马良,52,92,50,弓兵,,,
160,朱桓,77,52,50,水兵,,,
161,马良,52,92,50,弓兵,,,
161,马谡,52,84,50,步兵,,,
161,吴兰,79,58,50,弓兵,,,
161,张绣,83,45,50,弓兵,,,
162,黄权,67,70,50,步兵,,,
162,马谡,52,84,50,步兵,,,
162,王甫,25,81,50,骑兵,,,
162,钟繇,54,94,50,弓兵,,,
163,高沛,85,53,50,弓兵,,,
163,王甫,25,81,50,骑兵,,,
163,徐晃,86,83,50,骑兵,,,
163,赵云,101,87,50,弓兵,望月枪（武力+3）,,
164,关平,77,64,50,步兵,,,
164,凌操,75,33,50,水兵,,,
164,潘浚,39,72,50,水兵,,,
164,杨怀,73,51,50,水兵,,,
165,庞统,38,98,50,弓兵,,,
165,杨仪,64,70,50,水兵,,,
165,张郃,92,69,50,骑兵,,,
165,周仓,84,56,50,水兵,,,
166,廖化,72,55,50,水兵,,,
166,泠苞,83,48,50,骑兵,,,
166,赵累,52,71,50,步兵,,,
166,赵云,98,87,50,弓兵,,,
167,邓艾,84,93,50,水兵,,,
167,胡班,62,43,50,水兵,,,
167,刘度,53,52,50,水兵,,,
167,臧霸,83,46,50,步兵,,,
168,管辂,24,74,50,步兵,,,
168,刘贤,50,37,50,骑兵,,,
168,王平,71,77,50,弓兵,,,
168,钟会,41,94,50,步兵,,,
169,华佗,46,81,50,步兵,,,
169,司马懿,52,89,50,水兵,,,
169,魏延,91,59,50,步兵,,,
169,刑道荣,71,51,50,弓兵,,,
170,姜维,86,90,50,水兵,,,
170,庞统,38,98,50,弓兵,,,
170,王粲,46,72,50,步兵,,,
170,赵范,41,41,50,水兵,,,
171,陈应,80,22,50,水兵,,,
171,鲁肃,20,86,50,步兵,,,
