武将ID,名字,武力,智力,统率,兵种,武器,智力道具,坐骑
41,逢纪,50,88,50,弓兵,,,
42,陈群（时期3/4）,52,80,50,骑兵,,,
42,审配,57,85,50,步兵,,,
43,田丰,28,94,50,弓兵,,,
44,沮授,21,91,50,弓兵,,,
45,许攸,39,82,50,步兵,,,
46,郭淮,80,42,50,步兵,,,
46,纪灵,88,49,50,骑兵,三尖刀（武力+3）,,
47,陈兰,72,40,50,步兵,,,
48,雷薄,81,35,50,步兵,,,
49,蒋干,30,79,50,骑兵,,,
49,俞涉,74,24,50,弓兵,,,
50,程普,88,83,50,步兵,,,
50,张燕,77,38,50,水兵,,,
51,韩当,83,40,50,水兵,,,
52,黄盖,76,63,50,水兵,,,
53,祖茂,81,61,50,弓兵,,,
54,孙策,96,58,50,骑兵,,,
55,孙权（时期1）,77,80,50,步兵,,,
56,韩遂,70,60,50,骑兵,,,
57,马超,98,53,50,骑兵,,,
58,庞德,96,20,50,骑兵,,,
59,侯选,62,31,50,弓兵,,,
60,程银,78,40,50,步兵,,,
61,陈琳,43,75,50,步兵,,,
61,李堪,45,51,50,弓兵,,,
62,陈震,39,72,50,骑兵,,,
62,张横,83,40,50,步兵,,,
63,梁兴,71,29,50,步兵,,,
64,成宜,45,38,50,步兵,,,
64,司马师,43,89,50,步兵,,,
65,马玩,70,63,50,骑兵,,,
65,司马昭,55,94,50,水兵,,,
65,钟繇（时期3/4）,21,87,50,水兵,,,
66,马延,52,60,50,水兵,,,
66,杨秋,70,56,50,弓兵,,,
67,陈圭,31,88,50,弓兵,,,
67,文钦,75,66,50,步兵,,,
68,陈登,69,86,50,骑兵,,,
68,毋丘俭,84,54,50,步兵,,,
69,孙乾,30,82,50,步兵,,,
70,郝昭,79,74,50,步兵,,,
70,糜竺,53,82,50,弓兵,,,
71,糜芳,65,23,50,步兵,,,
71,王平（时期4）,72,78,50,步兵,,,
72,曹豹,58,53,50,骑兵,,,
72,董昭（时期3/4）,36,73,50,弓兵,,,
73,太史慈,93,43,50,骑兵,,,
73,赵云（时期4）,109,87,50,弓兵,望月枪（武力+3）；青虹剑（武力+8）,,
74,蔡中（时期3）,58,30,50,水兵,,,
74,武安国,57,41,50,步兵,,,
75,蔡和（时期3）,35,32,50,步兵,,,
75,刘繇,35,66,50,步兵,,,
76,乔瑁,51,50,50,弓兵,,,
76,朱治（时期2）,72,56,50,弓兵,,,
77,袁遗,57,47,50,步兵,,,
78,董昭（时期1）,57,80,50,弓兵,,,
78,周瑜,77,98,50,弓兵,,,
79,关羽（时期3）,106,81,50,步兵,青龙刀（武力+8）,,赤兔（移动+3）
79,穆顺,76,21,50,步兵,,,
80,潘凤,80,38,50,骑兵,,,
80,张飞（时期3）,107,67,50,骑兵,丈八矛（武力+8）,,王追（移动+1）
81,关兴,94,52,50,水兵,青龙刀（武力+8）,,
81,荀谌,51,80,50,弓兵,,,
82,辛评,28,74,50,步兵,,,
82,张苞,93,51,50,水兵,丈八矛（武力+8）,,
83,关纯,56,41,50,骑兵,,,
83,刘封,72,55,50,骑兵,,,
84,耿武,54,80,50,弓兵,,,
84,胡车儿,74,64,50,骑兵,,,
85,方悦,73,34,50,骑兵,,,
86,陈宫,51,93,50,弓兵,,,
87,典韦,101,56,50,骑兵,双铁戟（武力+2）,,
88,曹性,67,32,50,弓兵,,,
88,张超,40,56,50,步兵,,,
89,关羽（时期1/2）,106,81,50,步兵,青龙刀（武力+8）,,
89,魏续,84,48,50,水兵,,,
90,张飞（时期1/2）,107,67,50,骑兵,丈八矛（武力+8）,,
91,蒯良,20,93,50,弓兵,,,
92,蒯越,53,74,50,步兵,,,
93,蔡瑁,78,59,50,水兵,,,
93,马忠,74,49,50,水兵,,,
94,张允,78,82,50,水兵,,,
95,黄祖,70,43,50,步兵,,,
96,甘宁,92,49,50,骑兵,,,
97,张任,86,77,50,弓兵,,,
98,严颜,89,83,50,骑兵,,,
99,公孙越,78,43,50,骑兵,,,
100,马岱,74,45,50,弓兵,,,
100,徐盛,75,64,50,骑兵,,,
100,严纲,44,59,50,弓兵,,,
100,张翼,83,58,50,步兵,,,
101,王门,54,32,50,步兵,,,
102,潘璋,78,44,50,骑兵,,,
102,沙摩柯,90,29,50,弓兵,,,
102,田楷,81,58,50,步兵,,,
103,公孙康,77,36,50,步兵,,,
103,凌统（时期3/4）,76,51,50,水兵,,,
104,公孙恭,75,53,50,弓兵,,,
105,张卫,77,45,50,骑兵,,,
106,杨松,20,68,50,步兵,,,
107,杨任,41,53,50,弓兵,,,
107,朱治（时期3/4）,72,56,50,水兵,,,
108,董袭,80,43,50,弓兵,,,
108,阎圃,56,78,50,弓兵,,,
109,凌统（时期1）,85,67,50,水兵,,,
110,曹休,72,61,50,水兵,,,
111,刘晔,36,88,50,弓兵,,,
112,陈群（时期1）,49,92,50,步兵,,,
112,韩嵩,58,72,50,步兵,,,
113,刘璋（时期1）,47,42,50,弓兵,,,
114,陈武,83,67,50,步兵,,,
115,刘琦,47,44,50,骑兵,,,
115,陆逊（时期1）,28,95,50,弓兵,,,
115,孙尚香,72,47,50,弓兵,,,
116,程昱,33,94,50,步兵,,,
116,朱然,81,40,50,水兵,,,
117,蔡中（时期2）,58,10,50,水兵,,,
117,顾雍,31,73,50,弓兵,,,
117,吕范,68,78,50,水兵,,,
118,蔡和（时期2）,35,10,50,步兵,,,
118,吕蒙（时期1）,75,45,50,步兵,,,
118,严畯,36,75,50,步兵,,,
119,费祎,57,83,50,弓兵,,,
119,朱桓（时期3/4）,78,47,50,水兵,,,
120,董允,21,77,50,步兵,,,
120,张温,28,74,50,步兵,,,
121,吕蒙（时期3/4）,77,91,50,水兵,,,
121,马良,52,92,50,弓兵,,,
122,陆逊（时期3/4）,26,94,50,水兵,,,
122,马谡,52,84,50,步兵,,,
123,满宠,58,72,50,步兵,,,
124,庞统,38,98,50,弓兵,,,
125,关平,77,64,50,步兵,,,
125,全琮,71,26,50,骑兵,,,
126,郭嘉,28,99,50,弓兵,,,
127,王朗,41,78,50,水兵,,,
127,吴班,82,44,50,弓兵,,,
128,虞翻,40,84,50,水兵,,,
129,华歆,47,70,50,步兵,,,
129,吴兰,79,58,50,弓兵,,,
130,蒋琬,36,89,50,步兵,,,
131,文聘,82,56,50,步兵,,,
131,张休,42,80,50,步兵,,,
132,贾诩,37,96,50,步兵,,,
133,蒋钦,81,56,50,水兵,,,
134,孙浩,44,49,50,骑兵,,,
134,辛毗,54,79,50,步兵,,,
135,徐庶（时期1/2）,78,97,50,弓兵,,,
136,雷铜,75,59,50,骑兵,,,
137,吕岱,75,53,50,骑兵,,,
137,许褚,96,24,50,步兵,,,
138,荀彧,43,94,50,弓兵,,,
138,诸葛恪,49,93,50,弓兵,,,
139,朵思大王,49,61,50,步兵,,,
139,法正,39,93,50,步兵,,,
140,金环三结,84,50,50,水兵,,,
140,张松,56,88,50,弓兵,,,
141,孟达,74,77,50,骑兵,,,
141,朱褒,80,45,50,弓兵,,,
142,李严,82,76,50,骑兵,,,
142,孟优,76,35,50,骑兵,,,
143,吴懿,82,59,50,步兵,,,
143,祝融夫人,94,69,50,水兵,,,
144,带来洞主,72,42,50,骑兵,,,
144,黄权,67,70,50,步兵,,,
144,毛玠,51,76,50,水兵,,,
145,董荼那,73,38,50,弓兵,,,
145,杨修（时期1）,30,88,50,弓兵,,,
146,阿会喃,64,49,50,步兵,,,
146,伊籍,26,87,50,步兵,,,
147,李恢,41,77,50,水兵,,,
147,忙牙长,22,75,50,弓兵,,,
147,于禁,77,70,50,弓兵,,,
148,崔琰,50,77,50,步兵,,,
148,袁尚,83,47,50,步兵,,,
149,车胄,47,60,50,水兵,,,
149,袁谭,77,55,50,骑兵,,,
150,袁熙,57,63,50,水兵,,,
151,张纮,34,75,50,步兵,,,
152,邓芝,32,73,50,水兵,,,
152,华佗（时期4）,46,81,50,步兵,,,赤兔（移动+3）；绝影（移动+2）
152,张昭,40,86,50,弓兵,,,
153,管辂（时期4）,24,74,50,步兵,,,绝影（移动+2）
153,周仓,84,56,50,水兵,,,
154,廖化,72,55,50,水兵,,,
154,羊祜,63,93,50,水兵,,,
155,何晏,55,79,50,骑兵,,,
155,周泰,91,53,50,骑兵,,,
156,曹叡,46,84,50,弓兵,,,
156,郭攸之,37,73,50,骑兵,,,
156,诸葛谨,25,84,50,步兵,,,
157,姜维（时期4）,93,90,50,水兵,,,
157,诸葛亮,26,100,50,步兵,,,
158,郭图,36,80,50,步兵,,,
158,泠苞,83,48,50,骑兵,,,
159,公孙渊,74,55,50,步兵,,,
159,张南,74,44,50,步兵,,,
160,朱桓（时期1）,77,52,50,水兵,,,
161,张绣,83,45,50,弓兵,,,
162,王甫,25,81,50,骑兵,,,
162,钟繇（时期1）,54,94,50,弓兵,,,
163,徐晃,86,83,50,骑兵,,,
163,赵云（时期2/3）,101,87,50,弓兵,望月枪（武力+3）,,
164,凌操,75,33,50,水兵,,,
164,潘浚,39,72,50,水兵,,,
165,杨仪,64,70,50,水兵,,,
165,张郃,92,69,50,骑兵,,,
166,赵累,52,71,50,步兵,,,
166,赵云（时期1）,98,87,50,弓兵,,,
167,邓艾,84,93,50,水兵,,,
167,胡班,62,43,50,水兵,,,
167,臧霸,83,46,50,步兵,,,
168,王平（时期1）,71,77,50,弓兵,,,
168,钟会,41,94,50,步兵,,,
169,司马懿,52,89,50,水兵,,,
169,魏延,91,59,50,步兵,,,
170,姜维（时期3）,86,90,50,水兵,,,
170,王粲,46,72,50,步兵,,,
171,鲁肃,20,86,50,步兵,,,
171,张嶷,74,52,50,骑兵,,,
172,陈式,59,35,50,水兵,,,
172,丁奉,75,84,50,水兵,,,
172,刘琮,27,83,50,弓兵,,,
173,王威,77,53,50,水兵,,,
174,陆抗,42,73,50,水兵,,,
174,通宵虫（时期4）,150,150,50,玄兵,,,
174,王修,51,73,50,步兵,,,
175,贾华,61,36,50,步兵,,,
175,王累,58,77,50,弓兵,,,
176,博士仁,40,43,50,弓兵,,,
176,简雍,34,71,50,步兵,,,
177,董和,28,75,50,步兵,,,
177,向朗,44,75,50,步兵,,,
178,邓贤,76,43,50,骑兵,,,
178,阚泽,22,77,50,水兵,,,
179,黄忠,93,57,50,弓兵,,,
179,庞仪,45,84,50,骑兵,,,
180,高览,83,54,50,步兵,,,
180,高沛,85,53,50,弓兵,,,
180,吕旷,67,56,50,骑兵,,,
181,高干,59,41,50,水兵,,,
181,吕翔,52,35,50,水兵,,,
181,杨怀,73,51,50,水兵,,,
182,典满,83,52,50,弓兵,,,
182,王忠,47,41,50,弓兵,,,
183,管辂（时期1/2/3）,24,74,50,步兵,,,
183,王双,80,49,50,水兵,,,
184,华佗（时期1/2/3）,46,81,50,步兵,,,
184,诸葛均,48,73,50,水兵,,,
185,通宵虫（时期1/2/3）,150,150,50,极兵,,,
186,南方小鬼,150,150,50,玄兵,,,
